CODIGO MUNICIPIO;LATITUDE;LONGITUDE
520005;-16.75;-49.43
310010;-18.48;-47.4
520010;-16.2;-48.7
310020;-19.15;-45.44
150010;-1.71;-48.88
230010;-7.35;-39.04
290010;-13.25;-41.66
290020;-8.72;-39.11
410010;-23.3;-50.31
420005;-27.61;-51.02
150013;-4.95;-48.39
420010;-26.56;-52.32
310030;-20.3;-42.47
260005;-7.91;-34.9
170025;-9.62;-49.15
310040;-20.36;-43.14
210005;-4.94;-47.5
290030;-11.66;-38.01
150020;-1.96;-48.19
230015;-4.22;-38.7
230020;-2.88;-40.11
240010;-6.43;-36.63
220005;-8.21;-41.08
430003;-31.86;-54.16
230030;-6.09;-39.45
510010;-15.2;-56.36
120001;-9.82;-66.88
520013;-17.39;-50.37
240020;-5.57;-36.9
310050;-19.07;-42.54
350010;-21.68;-51.07
520015;-16.41;-50.16
350020;-21.23;-49.64
410020;-24.65;-48.99
290035;-10.53;-38.09
260010;-7.75;-37.63
240030;-5.49;-36.5
320010;-20.07;-41.12
210010;-4.13;-43.32
260020;-8.51;-41
150030;-0.15;-50.38
260030;-8.45;-35.94
220010;-5.79;-42.66
420020;-27.41;-49.82
420030;-27.26;-49.71
150034;-6.79;-50.46
510020;-14.05;-52.15
310060;-17.99;-42.38
220020;-5.88;-42.63
270010;-9.26;-37.93
250010;-7.51;-37.64
500020;-20.44;-52.87
310070;-20.05;-48.1
420040;-26.99;-51.55
210015;-2.84;-42.11
320016;-18.54;-40.97
290040;-11.86;-38.76
520017;-14.98;-47.78
520020;-18.07;-48.76
240040;-6.2;-38.29
260040;-8.7;-35.53
430005;-28.17;-52.03
350030;-22.05;-46.97
310080;-20.94;-45.39
260050;-9.11;-37.12
350040;-21.93;-46.71
420050;-27.06;-52.98
350050;-22.47;-46.63
350055;-22.88;-49.23
350060;-22.59;-47.87
310090;-17.08;-40.93
420055;-26.87;-52.85
520025;-15.76;-48.28
420060;-27.69;-48.82
310100;-15.74;-41.45
430010;-29.64;-53.24
350070;-22.46;-48.98
410030;-25.99;-49.33
320013;-18.98;-40.74
250020;-7.09;-38.17
170030;-6.56;-47.46
310110;-19.49;-41.06
290060;-14.12;-39.88
230040;-6.57;-40.12
310120;-21.97;-44.6
430020;-28.23;-53.77
310130;-22.17;-44.64
250030;-7.08;-35.63
250040;-7.07;-35.75
260060;-8.46;-36.77
250050;-6.94;-35.54
220025;-7;-40.93
290070;-12.13;-38.41
350075;-23.55;-47.89
310140;-22.2;-46.61
210020;-2.4;-44.41
230050;-3.58;-40.54
250053;-7.74;-36.05
500025;-18.32;-53.7
290080;-17.51;-39.19
210030;-4.62;-43.47
430030;-27.65;-54.76
320020;-20.76;-41.53
430040;-29.78;-55.79
220027;-7.24;-40.85
430045;-27.82;-54.05
310150;-21.88;-42.7
